USER, RANK, TITLE, ARTIST, ALBUM, GENRE, PLAYS
X630960520, 1, Clean, Taylor Swift, 1989, POP, 34
X630960520, 2, Style, Taylor Swift, 1989, POP, 40
X630960520, 3, Wildest Dreams, Taylor Swift, 1989, POP, 41
X630960520, 4, I Wish You Would, Taylor Swift, 1989, POP, 34
X630960520, 5, All You Had To Do Was Stay, Taylor Swift, 1989, POP, 34
X630960520, 6, Blank Space, Taylor Swift, 1989, POP, 47
X630960520, 6, Out Of The Woods, Taylor Swift, 1989, POP, 36
X630960520, 7, How You Get The Girl, Taylor Swift, 1989, POP, 38
X630960520, 7, Shake It Off, Taylor Swift, 1989, POP, 32
X630960520, 8, This Love, Taylor Swift, 1989, POP, 35
X630960520, 8, Bad Blood, Taylor Swift, 1989, POP, 32
X630960520, 9, I Know Places, Taylor Swift, 1989, POP, 35
X630960520, 10, Welcome To New York, Taylor Swift, 1989, POP, 31
Q605030782, 1, Thirst, Why?, Mumps ect., EXPERIMENTAL, 25
Q605030782, 2, Blackout Stout, FIDLAR, FIDLAR, ROCK, 30
Q605030782, 3, The Vowels part 2, Why?, Alopecia, EXPERIMENTAL, 25
Q605030782, 4, Night Moves, Bob Seger, 1977 Billboard top USA singles, ROCK, 68
Q605030782, 5, One Armed Scissor, At the Drive-In, Relationship of Command, ROCK, 45
Q605030782, 6, Crackhead Ted, FIDLAR, Shit We Recorded in our Bedroom EP, PUNK, 25
Q605030782, 7, Heart in a Blender, Eve 6, Horrorscope, ROCK, 68
Q605030782, 8, All My Friends, LCD Soundsystem, Sound of Silver, ALTERNATIVE, 46
Q605030782, 9, Bang the Drum All Day, Todd Rundgren, The Ever pop Tortured Artist Effect, ROCK, 89
Q605030782, 10, Make Me Feel Human, Kyle Andrews, Robot Learn Love, ALTERNATIVE, 32
Q564348235, 10, Fat, Weird Al Yankovic, Even Worse, POP, 64
Q564348235, 9, More Than a Feeling, Boston, Boston, ROCK, 123
Q564348235, 8, Don't Stop Believing, Journey, Escape, ROCK, 222
Q564348235, 7, Eye of the Tiger, Survivor, Eye of the Tiger, ROCK, 285
Q564348235, 6, War, Edwinn Star, , FUNK, 298
Q564348235, 5, Copacabana, Barry Manilow, Even Now, DISCO, 302
Q564348235, 4, Fur Elise, Ludwig Van Beethoven, , CLASSICAL, 311
Q564348235, 3, You Spin Me Right Round, Dead or Alive, Youthquake, SYNTHPOP, 321
Q564348235, 2, What a Wonderful World, Louis Armstrong, , SOUL, 333
Q564348235, 1, Maple Leaf Rag, Scott Joplin, , RAGTIME, 343
X1646070643, 10, If You Can't Hang, Sleeping With Sirens, Let's Cheers to This, DANCE, 90
X1646070643, 9, Never Gonna Give You Up, Rick Astley, Whenever You Need Somebody, POP, 666
X1646070643, 8, 99 Luftballons, Nena, NENA, POP, 99
X1646070643, 7, Tastes Like Kevin Bacon, iwrestledabearonce, It's All Happening, METAL, 50
